"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"    65 years and over","41,039","3,742","9.1%","142,193","11,117","7.8%","65,760","3,179","4.8%","68,609","6,738","9.8%","21,822","1,588","7.3%","20,000","2,127","10.6%","92,530","11,848","12.8%","38,748","2,165","5.6%","68,233","10,780","15.8%","18,675","638","3.4%","48,011","3,617","7.5%","105,425","7,449","7.1%","92,730","5,441","5.9%","72,560","3,688","5.1%","122,895","7,649","6.2%","63,043","7,279","11.5%","10,225","681","6.7%","43,409","2,455","5.7%","19,723","786","4.0%","68,235","5,857","8.6%","15,728","759","4.8%","1,239,593","99,583","8.0%"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","130,173","18,753","14.4%","443,561","29,262","6.6%","211,890","12,238","5.8%","243,582","28,813","11.8%","45,131","4,179","9.3%","69,718","11,633","16.7%","367,949","57,543","15.6%","138,835","9,915","7.1%","325,676","50,273","15.4%","59,793","2,236","3.7%","170,728","18,218","10.7%","392,180","31,792","8.1%","303,503","20,092","6.6%","240,371","9,710","4.0%","276,637","29,231","10.6%","243,254","37,009","15.2%","30,921","3,826","12.4%","159,477","7,340","4.6%","71,727","3,862","5.4%","263,802","24,322","9.2%","51,355","3,681","7.2%","4,240,263","413,928","9.8%"
"    Female","139,234","22,115","15.9%","472,035","38,697","8.2%","226,321","15,643","6.9%","261,479","37,989","14.5%","48,369","5,565","11.5%","74,585","14,127","18.9%","404,749","76,245","18.8%","147,165","13,285","9.0%","330,378","64,627","19.6%","62,332","3,143","5.0%","181,223","22,136","12.2%","410,695","39,116","9.5%","319,296","26,400","8.3%","250,114","12,358","4.9%","299,297","35,564","11.9%","256,177","46,194","18.0%","32,834","4,776","14.5%","167,580","9,139","5.5%","72,688","4,375","6.0%","278,045","34,712","12.5%","54,009","4,713","8.7%","4,488,605","530,919","11.8%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","181,220","19,420","10.7%","644,487","40,722","6.3%","322,299","17,048","5.3%","320,055","24,423","7.6%","85,207","8,204","9.6%","94,501","12,732","13.5%","324,409","30,526","9.4%","234,738","14,469","6.2%","364,267","58,237","16.0%","113,444","4,471","3.9%","222,227","19,143","8.6%","492,968","46,908","9.5%","515,195","30,567","5.9%","400,519","17,191","4.3%","529,251","57,692","10.9%","320,972","35,345","11.0%","51,282","5,558","10.8%","223,143","10,142","4.5%","134,964","7,104","5.3%","313,784","21,424","6.8%","94,152","6,456","6.9%","5,983,084","487,782","8.2%"
"    Black or African American alone","41,255","10,766","26.1%","52,699","7,020","13.3%","67,514","6,242","9.2%","97,173","21,287","21.9%","4,244","643","15.2%","25,589","6,441","25.2%","306,434","75,042","24.5%","28,628","5,034","17.6%","82,811","20,491","24.7%","1,305","291","22.3%","70,315","14,819","21.1%","75,200","8,869","11.8%","44,603","8,528","19.1%","14,684","1,391","9.5%","17,530","3,092","17.6%","61,996","17,232","27.8%","8,868","2,244","25.3%","29,335","2,799","9.5%","2,853","532","18.6%","114,671","17,172","15.0%","4,099","996","24.3%","1,151,806","230,931","20.0%"
"    American Indian and Alaska Native alone","697","323","46.3%","1,730","286","16.5%","382","51","13.4%","1,129","383","33.9%","64","0","0.0%","1,164","355","30.5%","1,962","427","21.8%","401","0","0.0%","2,204","485","22.0%","56","0","0.0%","386","55","14.2%","1,439","92","6.4%","1,007","180","17.9%","514","0","0.0%","670","145","21.6%","2,370","694","29.3%","66","4","6.1%","440","0","0.0%","80","0","0.0%","989","262","26.5%","210","6","2.9%","17,960","3,748","20.9%"
"    Asian alone","22,500","4,216","18.7%","144,215","9,013","6.2%","20,799","987","4.7%","28,460","2,768","9.7%","1,103","242","21.9%","2,048","110","5.4%","37,554","2,638","7.0%","8,617","583","6.8%","96,681","11,342","11.7%","4,576","215","4.7%","35,487","2,140","6.0%","186,888","9,322","5.0%","33,078","1,768","5.3%","48,031","1,770","3.7%","10,856","468","4.3%","26,604","2,900","10.9%","637","20","3.1%","52,966","1,392","2.6%","2,674","220","8.2%","26,332","1,232","4.7%","2,859","134","4.7%","792,965","53,480","6.7%"
"    Native Hawaiian and Other Pacific Islander alone","71","18","25.4%","171","4","2.3%","156","15","9.6%","112","50","44.6%","5","0","0.0%","0","0","-","303","79","26.1%","87","20","23.0%","482","111","23.0%","195","0","0.0%","13","0","0.0%","179","62","34.6%","207","79","38.2%","58","0","0.0%","132","108","81.8%","135","0","0.0%","7","0","0.0%","10","0","0.0%","26","7","26.9%","202","0","0.0%","5","0","0.0%","2,556","553","21.6%"
"    Some other race alone","13,872","2,734","19.7%","52,008","8,652","16.6%","10,951","1,676","15.3%","43,052","14,886","34.6%","1,434","257","17.9%","15,019","4,644","30.9%","80,281","20,386","25.4%","6,293","1,740","27.6%","89,651","20,948","23.4%","1,186","326","27.5%","17,103","3,369","19.7%","28,261","4,071","14.4%","16,155","3,642","22.5%","16,672","1,241","7.4%","8,543","1,552","18.2%","66,868","22,013","32.9%","1,478","453","30.6%","14,593","1,591","10.9%","1,508","250","16.6%","73,565","17,538","23.8%","2,474","436","17.6%","560,967","132,405","23.6%"
"    Two or more races","9,792","3,391","34.6%","20,286","2,262","11.2%","16,110","1,862","11.6%","15,080","3,005","19.9%","1,443","398","27.6%","5,982","1,478","24.7%","21,755","4,690","21.6%","7,236","1,354","18.7%","19,958","3,286","16.5%","1,363","76","5.6%","6,420","828","12.9%","17,940","1,584","8.8%","12,554","1,728","13.8%","10,007","475","4.7%","8,952","1,738","19.4%","20,486","5,019","24.5%","1,417","323","22.8%","6,570","555","8.4%","2,310","124","5.4%","12,304","1,406","11.4%","1,565","366","23.4%","219,530","35,948","16.4%"
"Hispanic or Latino origin (of any race)","49,160","12,265","24.9%","164,247","23,446","14.3%","30,577","3,618","11.8%","77,701","24,312","31.3%","6,446","1,779","27.6%","42,142","11,606","27.5%","169,181","40,253","23.8%","15,483","2,956","19.1%","281,700","62,900","22.3%","6,568","1,162","17.7%","57,748","13,060","22.6%","159,428","30,179","18.9%","63,947","10,992","17.2%","61,233","5,886","9.6%","50,595","10,081","19.9%","196,796","49,187","25.0%","4,765","1,455","30.5%","45,781","4,615","10.1%","10,207","996","9.8%","160,424","26,992","16.8%","8,454","1,795","21.2%","1,662,583","339,535","20.4%"
"White alone, not Hispanic or Latino","153,707","13,129","8.5%","542,967","27,744","5.1%","306,009","15,233","5.0%","296,077","19,278","6.5%","80,649","6,744","8.4%","72,905","7,244","9.9%","247,022","15,424","6.2%","228,002","13,774","6.0%","191,912","21,017","11.0%","108,339","3,663","3.4%","184,010","10,016","5.4%","371,391","21,935","5.9%","473,102","24,703","5.2%","357,992","12,645","3.5%","490,650","49,905","10.2%","215,428","14,909","6.9%","48,469","4,641","9.6%","193,988","7,232","3.7%","126,850","6,388","5.0%","229,269","10,927","4.8%","88,498","5,304","6.0%","5,007,236","311,855","6.2%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","185,148","22,731","12.3%","645,223","43,858","6.8%","303,345","16,633","5.5%","341,812","36,070","10.6%","69,578","6,205","8.9%","94,933","13,901","14.6%","514,042","71,278","13.9%","194,799","12,026","6.2%","463,245","64,549","13.9%","87,001","3,719","4.3%","240,881","22,161","9.2%","554,050","38,981","7.0%","431,388","27,290","6.3%","342,300","14,399","4.2%","397,640","32,197","8.1%","328,357","42,834","13.0%","44,031","4,393","10.0%","225,493","10,005","4.4%","100,541","5,145","5.1%","365,430","33,523","9.2%","73,896","4,652","6.3%","6,003,133","526,550","8.8%"
"        Less than high school graduate","28,057","7,356","26.2%","52,716","9,757","18.5%","21,132","3,552","16.8%","40,216","11,494","28.6%","7,155","1,507","21.1%","20,524","6,229","30.3%","79,119","21,280","26.9%","15,985","2,684","16.8%","78,504","19,737","25.1%","4,352","847","19.5%","29,135","7,554","25.9%","61,785","11,502","18.6%","30,753","5,385","17.5%","20,731","2,617","12.6%","36,871","5,945","16.1%","57,484","15,843","27.6%","5,808","1,385","23.8%","12,617","1,510","12.0%","5,861","849","14.5%","52,095","10,353","19.9%","7,109","1,275","17.9%","668,009","148,661","22.3%"
"        High school graduate (includes equivalency)","60,700","7,675","12.6%","156,239","14,573","9.3%","88,370","6,374","7.2%","106,487","12,862","12.1%","23,661","2,739","11.6%","36,363","4,494","12.4%","145,849","27,208","18.7%","66,714","5,658","8.5%","120,344","21,743","18.1%","19,553","1,326","6.8%","60,464","6,931","11.5%","141,893","13,042","9.2%","109,611","10,033","9.2%","76,495","4,653","6.1%","143,146","12,533","8.8%","114,332","16,473","14.4%","16,903","1,832","10.8%","48,494","3,909","8.1%","31,008","2,308","7.4%","107,766","12,257","11.4%","24,998","1,716","6.9%","1,699,390","190,339","11.2%"
"        Some college, associate's degree","49,529","5,161","10.4%","131,930","8,920","6.8%","83,309","4,501","5.4%","90,883","7,611","8.4%","17,758","1,240","7.0%","22,852","2,450","10.7%","118,451","15,305","12.9%","54,762","2,600","4.7%","89,711","11,993","13.4%","20,041","822","4.1%","53,850","4,554","8.5%","120,323","6,625","5.5%","106,466","6,687","6.3%","69,465","3,048","4.4%","109,982","8,612","7.8%","70,580","7,253","10.3%","12,257","940","7.7%","44,991","2,247","5.0%","29,476","1,207","4.1%","85,561","7,385","8.6%","19,551","1,148","5.9%","1,401,728","110,309","7.9%"
"        Bachelor's degree or higher","46,862","2,539","5.4%","304,338","10,608","3.5%","110,534","2,206","2.0%","104,226","4,103","3.9%","21,004","719","3.4%","15,194","728","4.8%","170,623","7,485","4.4%","57,338","1,084","1.9%","174,686","11,076","6.3%","43,055","724","1.7%","97,432","3,122","3.2%","230,049","7,812","3.4%","184,558","5,185","2.8%","175,609","4,081","2.3%","107,641","5,107","4.7%","85,961","3,265","3.8%","9,063","236","2.6%","119,391","2,339","2.0%","34,196","781","2.3%","120,008","3,528","2.9%","22,238","513","2.3%","2,234,006","77,241","3.5%"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian labor force 16 years and over","145,299","14,071","9.7%","489,250","18,234","3.7%","242,073","8,859","3.7%","269,057","18,221","6.8%","47,354","2,641","5.6%","71,148","7,118","10.0%","411,164","44,003","10.7%","155,230","7,538","4.9%","374,098","37,354","10.0%","70,077","1,874","2.7%","191,752","12,176","6.3%","434,726","22,245","5.1%","332,912","14,839","4.5%","274,669","7,510","2.7%","270,289","16,386","6.1%","249,883","17,774","7.1%","32,706","2,537","7.8%","180,972","5,507","3.0%","82,470","2,994","3.6%","296,340","19,950","6.7%","58,401","2,759","4.7%","4,679,870","284,590","6.1%"
"        Employed","127,186","8,693","6.8%","457,661","13,310","2.9%","221,438","5,464","2.5%","241,552","10,518","4.4%","42,585","1,673","3.9%","63,220","5,097","8.1%","357,786","25,195","7.0%","140,926","4,911","3.5%","339,411","26,053","7.7%","65,918","1,382","2.1%","173,919","7,867","4.5%","402,037","16,559","4.1%","306,733","10,535","3.4%","257,454","5,270","2.0%","246,536","11,854","4.8%","228,528","13,223","5.8%","29,225","1,534","5.2%","170,134","4,142","2.4%","75,668","1,913","2.5%","267,386","12,999","4.9%","53,135","1,778","3.3%","4,268,438","189,970","4.5%"
"            Male","63,515","4,116","6.5%","243,772","6,393","2.6%","113,129","2,439","2.2%","122,658","4,202","3.4%","22,231","1,022","4.6%","32,281","2,372","7.3%","180,942","9,766","5.4%","71,878","1,824","2.5%","185,010","11,786","6.4%","34,493","647","1.9%","89,591","3,519","3.9%","215,149","8,010","3.7%","163,733","4,702","2.9%","137,756","2,526","1.8%","126,516","4,962","3.9%","121,883","6,410","5.3%","15,002","549","3.7%","91,066","2,053","2.3%","39,651","823","2.1%","141,906","6,307","4.4%","28,198","822","2.9%","2,240,360","85,250","3.8%"
"            Female","63,671","4,577","7.2%","213,889","6,917","3.2%","108,309","3,025","2.8%","118,894","6,316","5.3%","20,354","651","3.2%","30,939","2,725","8.8%","176,844","15,429","8.7%","69,048","3,087","4.5%","154,401","14,267","9.2%","31,425","735","2.3%","84,328","4,348","5.2%","186,888","8,549","4.6%","143,000","5,833","4.1%","119,698","2,744","2.3%","120,020","6,892","5.7%","106,645","6,813","6.4%","14,223","985","6.9%","79,068","2,089","2.6%","36,017","1,090","3.0%","125,480","6,692","5.3%","24,937","956","3.8%","2,028,078","104,720","5.2%"
"        Unemployed","18,113","5,378","29.7%","31,589","4,924","15.6%","20,635","3,395","16.5%","27,505","7,703","28.0%","4,769","968","20.3%","7,928","2,021","25.5%","53,378","18,808","35.2%","14,304","2,627","18.4%","34,687","11,301","32.6%","4,159","492","11.8%","17,833","4,309","24.2%","32,689","5,686","17.4%","26,179","4,304","16.4%","17,215","2,240","13.0%","23,753","4,532","19.1%","21,355","4,551","21.3%","3,481","1,003","28.8%","10,838","1,365","12.6%","6,802","1,081","15.9%","28,954","6,951","24.0%","5,266","981","18.6%","411,432","94,620","23.0%"
"            Male","9,746","2,549","26.2%","16,696","2,278","13.6%","11,076","1,550","14.0%","14,939","3,361","22.5%","2,616","346","13.2%","4,194","811","19.3%","26,042","7,553","29.0%","8,535","1,278","15.0%","16,982","4,683","27.6%","2,203","208","9.4%","9,885","2,253","22.8%","17,305","2,502","14.5%","14,231","2,261","15.9%","8,508","1,040","12.2%","13,240","2,248","17.0%","10,614","2,441","23.0%","1,828","513","28.1%","5,829","591","10.1%","3,971","637","16.0%","14,294","2,620","18.3%","2,554","372","14.6%","215,288","42,095","19.6%"
"            Female","8,367","2,829","33.8%","14,893","2,646","17.8%","9,559","1,845","19.3%","12,566","4,342","34.6%","2,153","622","28.9%","3,734","1,210","32.4%","27,336","11,255","41.2%","5,769","1,349","23.4%","17,705","6,618","37.4%","1,956","284","14.5%","7,948","2,056","25.9%","15,384","3,184","20.7%","11,948","2,043","17.1%","8,707","1,200","13.8%","10,513","2,284","21.7%","10,741","2,110","19.6%","1,653","490","29.6%","5,009","774","15.5%","2,831","444","15.7%","14,660","4,331","29.5%","2,712","609","22.5%","196,144","52,525","26.8%"
"WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over","216,032","27,903","12.9%","738,953","52,062","7.0%","352,496","20,613","5.8%","399,643","45,380","11.4%","79,038","7,378","9.3%","112,484","17,258","15.3%","603,919","92,117","15.3%","227,531","17,220","7.6%","535,647","83,088","15.5%","99,201","4,128","4.2%","281,243","28,318","10.1%","640,940","52,251","8.2%","500,004","34,050","6.8%","393,155","17,505","4.5%","454,339","39,530","8.7%","390,569","55,052","14.1%","51,248","5,726","11.2%","259,264","12,331","4.8%","116,916","6,374","5.5%","426,271","40,905","9.6%","85,411","6,028","7.1%","6,964,304","665,217","9.6%"
"        Worked full-time, year-round in the past 12 months","83,144","2,873","3.5%","336,853","4,844","1.4%","157,563","1,297","0.8%","166,470","3,310","2.0%","26,548","336","1.3%","43,425","1,499","3.5%","252,155","6,618","2.6%","95,818","892","0.9%","255,378","8,271","3.2%","45,673","316","0.7%","123,351","2,517","2.0%","292,553","4,578","1.6%","213,091","3,082","1.4%","184,230","1,543","0.8%","159,941","2,797","1.7%","168,906","6,082","3.6%","19,840","423","2.1%","125,185","1,215","1.0%","51,196","425","0.8%","188,886","4,108","2.2%","36,261","479","1.3%","3,026,467","57,505","1.9%"
