"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"        65 years and over","43,315","3,845","8.9%","149,393","11,708","7.8%","69,189","3,187","4.6%","72,198","6,967","9.6%","22,462","1,855","8.3%","20,852","1,986","9.5%","99,237","12,976","13.1%","41,273","2,041","4.9%","73,843","12,310","16.7%","20,419","690","3.4%","50,997","3,959","7.8%","112,518","8,966","8.0%","98,756","6,149","6.2%","76,711","4,208","5.5%","126,908","7,908","6.2%","67,523","7,953","11.8%","10,460","700","6.7%","46,337","2,448","5.3%","21,545","874","4.1%","73,195","6,365","8.7%","17,076","914","5.4%","1,314,207","108,009","8.2%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","129,347","18,226","14.1%","449,502","28,633","6.4%","211,377","12,265","5.8%","243,253","27,934","11.5%","44,802","4,361","9.7%","68,743","12,163","17.7%","371,660","56,435","15.2%","139,373","9,729","7.0%","333,164","51,509","15.5%","59,386","2,418","4.1%","173,466","17,935","10.3%","394,816","30,225","7.7%","302,493","20,692","6.8%","241,075","9,981","4.1%","280,123","28,695","10.2%","244,587","37,914","15.5%","30,454","3,969","13.0%","160,821","7,466","4.6%","70,798","3,620","5.1%","268,335","23,991","8.9%","51,516","3,945","7.7%","4,269,091","412,106","9.7%"
"        Female","137,806","22,524","16.3%","477,524","38,285","8.0%","225,560","15,801","7.0%","260,760","37,924","14.5%","47,424","5,435","11.5%","73,936","14,618","19.8%","409,619","74,148","18.1%","147,919","13,086","8.8%","339,077","63,745","18.8%","61,883","2,985","4.8%","183,047","22,515","12.3%","412,634","39,072","9.5%","318,907","26,363","8.3%","250,225","12,819","5.1%","301,973","34,486","11.4%","258,019","47,725","18.5%","32,063","4,891","15.3%","169,038","8,279","4.9%","71,416","3,953","5.5%","282,246","32,835","11.6%","53,822","4,657","8.7%","4,514,898","526,146","11.7%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","178,870","17,552","9.8%","656,498","41,830","6.4%","319,709","17,241","5.4%","318,947","24,904","7.8%","84,313","8,172","9.7%","98,068","14,481","14.8%","329,068","31,918","9.7%","235,228","14,867","6.3%","371,464","60,584","16.3%","112,865","4,606","4.1%","226,733","19,922","8.8%","482,581","44,253","9.2%","510,665","30,929","6.1%","400,704","17,673","4.4%","531,851","55,736","10.5%","313,929","39,417","12.6%","50,515","5,378","10.6%","223,105","9,398","4.2%","132,421","6,532","4.9%","311,669","21,620","6.9%","94,332","6,720","7.1%","5,983,535","493,733","8.3%"
"        Black or African American alone","39,791","11,477","28.8%","54,799","6,366","11.6%","68,683","6,903","10.1%","96,815","20,433","21.1%","4,090","684","16.7%","23,997","6,707","27.9%","310,818","72,299","23.3%","29,141","4,401","15.1%","82,049","19,235","23.4%","1,281","222","17.3%","72,700","14,513","20.0%","77,920","8,515","10.9%","44,049","8,058","18.3%","15,043","1,566","10.4%","17,272","3,295","19.1%","58,318","14,722","25.2%","8,217","2,440","29.7%","30,555","3,260","10.7%","2,794","580","20.8%","115,825","15,320","13.2%","4,430","956","21.6%","1,158,587","221,952","19.2%"
"        American Indian and Alaska Native alone","899","380","42.3%","1,602","221","13.8%","289","33","11.4%","1,118","523","46.8%","21","0","0.0%","1,152","319","27.7%","2,021","594","29.4%","87","0","0.0%","2,116","414","19.6%","35","0","0.0%","310","77","24.8%","1,575","109","6.9%","944","150","15.9%","571","15","2.6%","310","59","19.0%","2,071","916","44.2%","114","22","19.3%","764","0","0.0%","38","0","0.0%","1,509","257","17.0%","114","5","4.4%","17,660","4,094","23.2%"
"        Asian alone","22,728","4,290","18.9%","151,990","9,647","6.3%","21,609","930","4.3%","29,353","3,330","11.3%","901","175","19.4%","2,022","134","6.6%","40,168","2,031","5.1%","8,808","555","6.3%","102,742","11,915","11.6%","4,825","233","4.8%","37,977","2,338","6.2%","193,367","9,783","5.1%","34,089","1,615","4.7%","49,978","1,537","3.1%","11,477","701","6.1%","26,896","3,087","11.5%","599","47","7.8%","57,013","1,694","3.0%","2,850","193","6.8%","27,611","1,328","4.8%","3,028","122","4.0%","830,031","55,685","6.7%"
"        Native Hawaiian and Other Pacific Islander alone","88","21","23.9%","270","4","1.5%","171","68","39.8%","184","23","12.5%","65","0","0.0%","11","0","0.0%","184","27","14.7%","78","0","0.0%","562","137","24.4%","17","0","0.0%","125","81","64.8%","161","95","59.0%","247","100","40.5%","61","0","0.0%","242","179","74.0%","117","9","7.7%","0","0","-","21","0","0.0%","14","6","42.9%","167","12","7.2%","9","0","0.0%","2,794","762","27.3%"
"        Some other race alone","15,237","4,288","28.1%","40,712","6,820","16.8%","9,368","1,133","12.1%","42,288","14,360","34.0%","1,182","340","28.8%","10,789","3,507","32.5%","78,705","19,882","25.3%","6,202","1,332","21.5%","91,125","18,773","20.6%","790","262","33.2%","11,479","2,395","20.9%","31,941","4,661","14.6%","19,165","4,458","23.3%","14,787","1,481","10.0%","11,899","1,593","13.4%","84,265","23,623","28.0%","1,211","379","31.3%","11,645","910","7.8%","1,909","169","8.9%","79,859","16,561","20.7%","1,812","495","27.3%","566,370","127,422","22.5%"
"        Two or more races","9,540","2,742","28.7%","21,155","2,030","9.6%","17,108","1,758","10.3%","15,308","2,285","14.9%","1,654","425","25.7%","6,640","1,633","24.6%","20,315","3,832","18.9%","7,748","1,660","21.4%","22,183","4,196","18.9%","1,456","80","5.5%","7,189","1,124","15.6%","19,905","1,881","9.4%","12,241","1,745","14.3%","10,156","528","5.2%","9,045","1,618","17.9%","17,010","3,865","22.7%","1,861","594","31.9%","6,756","483","7.1%","2,188","93","4.3%","13,941","1,728","12.4%","1,613","304","18.8%","225,012","34,604","15.4%"
"        Hispanic or Latino origin (of any race)","49,516","13,342","26.9%","174,910","23,355","13.4%","32,119","3,420","10.6%","81,436","22,483","27.6%","6,703","1,987","29.6%","43,285","12,980","30.0%","176,922","40,790","23.1%","16,530","3,116","18.9%","290,869","63,309","21.8%","6,836","883","12.9%","61,286","12,868","21.0%","167,070","29,213","17.5%","65,764","11,338","17.2%","64,178","5,837","9.1%","52,508","8,843","16.8%","205,154","52,443","25.6%","5,185","1,598","30.8%","47,444","3,684","7.8%","10,699","1,049","9.8%","169,961","26,279","15.5%","9,097","1,931","21.2%","1,737,472","340,748","19.6%"
"        White alone, not Hispanic or Latino","150,724","11,085","7.4%","535,637","27,129","5.1%","301,763","15,595","5.2%","289,988","20,134","6.9%","79,125","6,566","8.3%","69,788","6,231","8.9%","243,288","14,973","6.2%","227,732","14,183","6.2%","192,805","21,072","10.9%","107,155","4,039","3.8%","180,726","10,454","5.8%","358,910","21,337","5.9%","468,904","25,444","5.4%","353,952","13,526","3.8%","494,496","49,020","9.9%","210,821","15,905","7.5%","46,997","4,343","9.2%","190,340","6,731","3.5%","124,111","5,706","4.6%","223,710","11,205","5.0%","87,449","5,452","6.2%","4,938,421","310,130","6.3%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","185,189","22,289","12.0%","654,086","43,667","6.7%","305,495","16,635","5.4%","343,869","36,305","10.6%","68,748","6,490","9.4%","93,977","14,147","15.1%","523,941","71,521","13.7%","197,481","12,137","6.1%","478,227","66,196","13.8%","87,193","3,671","4.2%","244,565","23,048","9.4%","563,877","39,112","6.9%","432,836","28,442","6.6%","343,686","14,576","4.2%","401,479","32,576","8.1%","332,891","44,815","13.5%","43,393","4,476","10.3%","228,233","10,070","4.4%","100,204","5,024","5.0%","373,196","32,960","8.8%","74,563","4,917","6.6%","6,077,129","533,074","8.8%"
"            Less than high school graduate","24,958","6,670","26.7%","51,073","9,606","18.8%","19,062","3,260","17.1%","38,843","10,889","28.0%","6,225","1,443","23.2%","19,987","6,071","30.4%","75,367","20,805","27.6%","14,571","2,434","16.7%","76,930","19,731","25.6%","4,103","624","15.2%","28,744","7,185","25.0%","60,434","11,033","18.3%","30,437","5,464","18.0%","20,349","2,573","12.6%","34,532","5,723","16.6%","56,343","16,742","29.7%","5,467","1,250","22.9%","12,617","1,327","10.5%","5,409","878","16.2%","51,885","9,588","18.5%","6,682","1,117","16.7%","644,018","144,413","22.4%"
"            High school graduate (includes equivalency)","60,868","8,257","13.6%","155,693","14,605","9.4%","87,168","6,131","7.0%","104,767","12,665","12.1%","22,595","2,710","12.0%","35,856","4,613","12.9%","146,531","27,567","18.8%","66,590","5,505","8.3%","124,553","22,714","18.2%","18,793","1,434","7.6%","59,288","7,528","12.7%","141,396","12,804","9.1%","105,969","10,622","10.0%","71,856","4,772","6.6%","137,265","12,497","9.1%","114,944","17,194","15.0%","16,398","1,946","11.9%","47,034","3,658","7.8%","31,332","2,095","6.7%","108,284","11,982","11.1%","23,400","1,809","7.7%","1,680,580","193,108","11.5%"
"            Some college, associate's degree","49,718","5,067","10.2%","132,495","8,450","6.4%","84,701","4,713","5.6%","92,192","8,514","9.2%","18,187","1,516","8.3%","23,384","2,664","11.4%","120,941","15,703","13.0%","54,864","2,875","5.2%","87,395","11,418","13.1%","19,512","764","3.9%","53,426","4,401","8.2%","122,204","7,034","5.8%","104,879","6,648","6.3%","69,664","3,291","4.7%","114,812","9,111","7.9%","71,122","7,225","10.2%","12,289","1,026","8.3%","46,250","2,550","5.5%","28,828","1,248","4.3%","84,949","7,252","8.5%","20,753","1,291","6.2%","1,412,565","112,761","8.0%"
"            Bachelor's degree or higher","49,645","2,295","4.6%","314,825","11,006","3.5%","114,564","2,531","2.2%","108,067","4,237","3.9%","21,741","821","3.8%","14,750","799","5.4%","181,102","7,446","4.1%","61,456","1,323","2.2%","189,349","12,333","6.5%","44,785","849","1.9%","103,107","3,934","3.8%","239,843","8,241","3.4%","191,551","5,708","3.0%","181,817","3,940","2.2%","114,870","5,245","4.6%","90,482","3,654","4.0%","9,239","254","2.7%","122,332","2,535","2.1%","34,635","803","2.3%","128,078","4,138","3.2%","23,728","700","3.0%","2,339,966","82,792","3.5%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","142,179","13,939","9.8%","497,874","17,884","3.6%","240,660","8,649","3.6%","269,205","18,320","6.8%","46,015","2,631","5.7%","68,904","7,320","10.6%","414,567","41,869","10.1%","156,756","7,653","4.9%","381,053","34,714","9.1%","69,455","1,706","2.5%","191,974","11,571","6.0%","436,564","21,134","4.8%","334,053","14,864","4.4%","275,331","7,533","2.7%","271,555","15,080","5.6%","252,204","18,937","7.5%","31,910","2,420","7.6%","183,395","5,533","3.0%","80,517","2,446","3.0%","299,759","18,150","6.1%","58,803","2,927","5.0%","4,702,733","275,280","5.9%"
"            Employed","126,726","9,252","7.3%","471,969","14,033","3.0%","223,969","5,653","2.5%","248,066","12,150","4.9%","42,136","1,513","3.6%","62,714","5,598","8.9%","371,238","26,047","7.0%","145,116","5,148","3.5%","353,892","26,670","7.5%","66,382","1,326","2.0%","177,843","8,244","4.6%","408,836","16,053","3.9%","314,114","11,380","3.6%","261,105","5,352","2.0%","253,492","11,719","4.6%","237,262","15,646","6.6%","29,363","1,652","5.6%","174,439","4,308","2.5%","75,369","1,613","2.1%","277,601","13,123","4.7%","54,456","2,121","3.9%","4,376,088","198,601","4.5%"
"                Male","63,704","4,186","6.6%","251,150","6,780","2.7%","115,241","2,274","2.0%","126,048","5,004","4.0%","22,113","846","3.8%","32,003","2,663","8.3%","187,376","9,945","5.3%","74,954","2,199","2.9%","192,003","12,352","6.4%","34,662","677","2.0%","92,907","3,942","4.2%","220,210","7,550","3.4%","168,006","5,026","3.0%","139,806","2,395","1.7%","129,280","4,731","3.7%","126,554","7,471","5.9%","14,856","655","4.4%","92,221","2,057","2.2%","39,805","653","1.6%","147,294","6,462","4.4%","28,729","928","3.2%","2,298,922","88,796","3.9%"
"                Female","63,022","5,066","8.0%","220,819","7,253","3.3%","108,728","3,379","3.1%","122,018","7,146","5.9%","20,023","667","3.3%","30,711","2,935","9.6%","183,862","16,102","8.8%","70,162","2,949","4.2%","161,889","14,318","8.8%","31,720","649","2.0%","84,936","4,302","5.1%","188,626","8,503","4.5%","146,108","6,354","4.3%","121,299","2,957","2.4%","124,212","6,988","5.6%","110,708","8,175","7.4%","14,507","997","6.9%","82,218","2,251","2.7%","35,564","960","2.7%","130,307","6,661","5.1%","25,727","1,193","4.6%","2,077,166","109,805","5.3%"
"            Unemployed","15,453","4,687","30.3%","25,905","3,851","14.9%","16,691","2,996","17.9%","21,139","6,170","29.2%","3,879","1,118","28.8%","6,190","1,722","27.8%","43,329","15,822","36.5%","11,640","2,505","21.5%","27,161","8,044","29.6%","3,073","380","12.4%","14,131","3,327","23.5%","27,728","5,081","18.3%","19,939","3,484","17.5%","14,226","2,181","15.3%","18,063","3,361","18.6%","14,942","3,291","22.0%","2,547","768","30.2%","8,956","1,225","13.7%","5,148","833","16.2%","22,158","5,027","22.7%","4,347","806","18.5%","326,645","76,679","23.5%"
"                Male","8,361","2,219","26.5%","14,079","2,034","14.4%","8,900","1,436","16.1%","11,445","2,557","22.3%","1,992","415","20.8%","3,639","843","23.2%","20,865","6,678","32.0%","6,680","1,212","18.1%","13,657","3,813","27.9%","1,697","210","12.4%","7,627","1,584","20.8%","14,011","2,345","16.7%","10,573","1,821","17.2%","7,051","1,037","14.7%","10,159","1,747","17.2%","7,802","1,734","22.2%","1,364","259","19.0%","4,679","505","10.8%","2,947","481","16.3%","11,426","2,181","19.1%","2,324","279","12.0%","171,278","35,390","20.7%"
"                Female","7,092","2,468","34.8%","11,826","1,817","15.4%","7,791","1,560","20.0%","9,694","3,613","37.3%","1,887","703","37.3%","2,551","879","34.5%","22,464","9,144","40.7%","4,960","1,293","26.1%","13,504","4,231","31.3%","1,376","170","12.4%","6,504","1,743","26.8%","13,717","2,736","19.9%","9,366","1,663","17.8%","7,175","1,144","15.9%","7,904","1,614","20.4%","7,140","1,557","21.8%","1,183","509","43.0%","4,277","720","16.8%","2,201","352","16.0%","10,732","2,846","26.5%","2,023","527","26.1%","155,367","41,289","26.6%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","215,838","27,654","12.8%","751,805","51,850","6.9%","354,188","20,908","5.9%","400,765","45,671","11.4%","78,002","7,686","9.9%","110,906","18,021","16.2%","613,225","91,203","14.9%","230,056","16,822","7.3%","548,485","83,268","15.2%","99,862","4,300","4.3%","286,594","29,030","10.1%","646,409","51,306","7.9%","503,008","34,955","6.9%","397,213","18,186","4.6%","459,325","39,195","8.5%","394,403","56,672","14.4%","50,342","5,597","11.1%","264,055","12,494","4.7%","116,404","6,053","5.2%","435,078","39,992","9.2%","86,288","6,311","7.3%","7,042,251","667,174","9.5%"
"            Worked full-time, year-round in the past 12 months","84,199","3,213","3.8%","345,001","4,774","1.4%","160,456","1,487","0.9%","172,571","3,727","2.2%","26,633","309","1.2%","42,433","1,676","3.9%","261,157","7,183","2.8%","99,336","879","0.9%","264,998","8,585","3.2%","46,612","380","0.8%","125,986","2,660","2.1%","299,846","4,743","1.6%","217,947","3,146","1.4%","187,380","1,504","0.8%","166,645","3,041","1.8%","174,265","7,316","4.2%","20,217","436","2.2%","129,239","1,543","1.2%","52,458","452","0.9%","198,357","4,530","2.3%","36,965","517","1.4%","3,112,701","62,101","2.0%"
