"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"            Worked full-time, year-round in the past 12 months","85,988","2,367","2.8%","354,740","4,400","1.2%","162,839","1,439","0.9%","175,464","4,156","2.4%","26,826","277","1.0%","43,101","1,393","3.2%","271,710","7,837","2.9%","103,990","915","0.9%","273,332","8,233","3.0%","47,751","413","0.9%","126,535","2,547","2.0%","298,784","4,818","1.6%","221,205","2,494","1.1%","188,061","1,547","0.8%","172,717","2,862","1.7%","178,751","6,664","3.7%","20,572","428","2.1%","128,271","1,661","1.3%","53,265","451","0.8%","205,733","4,407","2.1%","37,130","478","1.3%","3,176,765","59,787","1.9%"
"            Worked part-time or part-year in the past 12 months","54,165","7,284","13.4%","158,946","10,842","6.8%","83,877","6,291","7.5%","96,251","11,286","11.7%","20,865","2,030","9.7%","24,741","4,129","16.7%","135,476","23,278","17.2%","57,395","5,839","10.2%","105,798","19,106","18.1%","23,871","1,178","4.9%","64,865","8,203","12.6%","134,873","13,490","10.0%","127,920","9,645","7.5%","92,683","5,834","6.3%","112,354","11,217","10.0%","78,823","9,880","12.5%","11,339","1,222","10.8%","58,333","3,308","5.7%","29,318","1,639","5.6%","95,694","9,198","9.6%","23,046","1,948","8.5%","1,590,633","166,847","10.5%"
"            Did not work","71,099","14,827","20.9%","234,395","33,248","14.2%","106,329","12,089","11.4%","127,105","27,789","21.9%","29,297","4,542","15.5%","40,392","9,895","24.5%","201,269","54,560","27.1%","70,033","9,792","14.0%","159,452","46,514","29.2%","28,989","2,915","10.1%","91,819","19,141","20.8%","204,585","31,488","15.4%","152,606","19,734","12.9%","114,528","11,269","9.8%","178,354","24,252","13.6%","132,193","34,496","26.1%","18,097","3,438","19.0%","76,702","7,768","10.1%","33,521","3,371","10.1%","131,610","22,940","17.4%","26,050","3,398","13.0%","2,228,425","397,466","17.8%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","14,200","(X)","(X)","27,339","(X)","(X)","13,605","(X)","(X)","27,399","(X)","(X)","3,797","(X)","(X)","10,902","(X)","(X)","56,004","(X)","(X)","9,880","(X)","(X)","44,852","(X)","(X)","2,588","(X)","(X)","20,749","(X)","(X)","30,547","(X)","(X)","20,273","(X)","(X)","10,393","(X)","(X)","24,142","(X)","(X)","32,688","(X)","(X)","3,392","(X)","(X)","7,705","(X)","(X)","3,595","(X)","(X)","21,904","(X)","(X)","3,193","(X)","(X)","389,147","(X)","(X)"
"        125 percent of poverty level","46,647","(X)","(X)","80,593","(X)","(X)","36,321","(X)","(X)","79,064","(X)","(X)","13,037","(X)","(X)","32,289","(X)","(X)","162,770","(X)","(X)","28,251","(X)","(X)","131,077","(X)","(X)","7,331","(X)","(X)","53,039","(X)","(X)","89,095","(X)","(X)","56,434","(X)","(X)","31,669","(X)","(X)","80,897","(X)","(X)","101,897","(X)","(X)","10,416","(X)","(X)","22,182","(X)","(X)","8,941","(X)","(X)","73,471","(X)","(X)","10,417","(X)","(X)","1,155,838","(X)","(X)"
"        150 percent of poverty level","56,682","(X)","(X)","103,580","(X)","(X)","47,285","(X)","(X)","96,932","(X)","(X)","16,163","(X)","(X)","39,430","(X)","(X)","194,463","(X)","(X)","34,607","(X)","(X)","159,586","(X)","(X)","9,282","(X)","(X)","63,239","(X)","(X)","109,376","(X)","(X)","70,150","(X)","(X)","40,822","(X)","(X)","101,119","(X)","(X)","122,895","(X)","(X)","12,572","(X)","(X)","26,667","(X)","(X)","11,600","(X)","(X)","94,293","(X)","(X)","12,978","(X)","(X)","1,423,721","(X)","(X)"
"        185 percent of poverty level","72,543","(X)","(X)","133,956","(X)","(X)","63,281","(X)","(X)","123,397","(X)","(X)","20,489","(X)","(X)","49,677","(X)","(X)","242,146","(X)","(X)","45,296","(X)","(X)","201,451","(X)","(X)","12,234","(X)","(X)","82,350","(X)","(X)","140,319","(X)","(X)","91,164","(X)","(X)","55,196","(X)","(X)","133,030","(X)","(X)","150,110","(X)","(X)","15,507","(X)","(X)","35,978","(X)","(X)","16,961","(X)","(X)","122,295","(X)","(X)","18,134","(X)","(X)","1,825,514","(X)","(X)"
"        200 percent of poverty level","79,297","(X)","(X)","147,807","(X)","(X)","70,870","(X)","(X)","134,860","(X)","(X)","22,534","(X)","(X)","54,267","(X)","(X)","258,273","(X)","(X)","49,668","(X)","(X)","216,908","(X)","(X)","12,994","(X)","(X)","88,114","(X)","(X)","154,771","(X)","(X)","100,551","(X)","(X)","60,372","(X)","(X)","146,317","(X)","(X)","162,601","(X)","(X)","16,569","(X)","(X)","39,604","(X)","(X)","19,134","(X)","(X)","135,584","(X)","(X)","19,954","(X)","(X)","1,991,049","(X)","(X)"
"        300 percent of poverty level","122,218","(X)","(X)","239,012","(X)","(X)","125,632","(X)","(X)","202,498","(X)","(X)","35,943","(X)","(X)","78,913","(X)","(X)","362,260","(X)","(X)","85,641","(X)","(X)","313,981","(X)","(X)","21,426","(X)","(X)","128,135","(X)","(X)","251,496","(X)","(X)","162,669","(X)","(X)","101,720","(X)","(X)","233,871","(X)","(X)","231,242","(X)","(X)","25,137","(X)","(X)","71,486","(X)","(X)","36,280","(X)","(X)","207,944","(X)","(X)","33,308","(X)","(X)","3,070,812","(X)","(X)"
"        400 percent of poverty level","156,822","(X)","(X)","337,683","(X)","(X)","185,400","(X)","(X)","268,131","(X)","(X)","48,063","(X)","(X)","97,040","(X)","(X)","445,369","(X)","(X)","122,972","(X)","(X)","390,827","(X)","(X)","32,902","(X)","(X)","167,063","(X)","(X)","348,826","(X)","(X)","225,074","(X)","(X)","145,098","(X)","(X)","312,089","(X)","(X)","291,823","(X)","(X)","33,077","(X)","(X)","103,545","(X)","(X)","53,732","(X)","(X)","273,758","(X)","(X)","46,445","(X)","(X)","4,085,739","(X)","(X)"
"        500 percent of poverty level","183,661","(X)","(X)","434,045","(X)","(X)","237,823","(X)","(X)","326,069","(X)","(X)","58,980","(X)","(X)","110,305","(X)","(X)","516,580","(X)","(X)","160,394","(X)","(X)","451,132","(X)","(X)","45,704","(X)","(X)","200,533","(X)","(X)","444,861","(X)","(X)","288,136","(X)","(X)","192,923","(X)","(X)","380,986","(X)","(X)","343,188","(X)","(X)","40,348","(X)","(X)","137,088","(X)","(X)","72,345","(X)","(X)","331,298","(X)","(X)","59,855","(X)","(X)","5,016,254","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","48,641","11,671","24.0%","129,039","22,774","17.6%","68,405","10,521","15.4%","87,185","20,713","23.8%","17,926","3,383","18.9%","25,417","7,765","30.6%","142,456","39,252","27.6%","46,250","10,379","22.4%","154,111","35,762","23.2%","17,215","2,625","15.2%","61,963","15,632","25.2%","106,959","23,012","21.5%","97,891","16,968","17.3%","71,159","10,344","14.5%","99,485","17,426","17.5%","69,320","18,164","26.2%","11,499","2,653","23.1%","44,533","6,669","15.0%","20,797","2,996","14.4%","80,596","18,021","22.4%","18,873","3,304","17.5%","1,419,720","300,034","21.1%"
"    Male","23,042","5,273","22.9%","58,637","9,188","15.7%","31,394","4,754","15.1%","41,296","8,894","21.5%","8,196","1,368","16.7%","11,472","3,050","26.6%","67,717","16,752","24.7%","21,802","4,690","21.5%","80,927","15,724","19.4%","7,893","1,124","14.2%","28,979","7,025","24.2%","50,699","9,608","19.0%","44,939","6,948","15.5%","32,743","4,357","13.3%","42,791","7,081","16.5%","33,688","7,783","23.1%","5,374","1,099","20.5%","20,114","3,135","15.6%","10,180","1,431","14.1%","38,517","7,303","19.0%","9,008","1,360","15.1%","669,408","127,947","19.1%"
"    Female","25,599","6,398","25.0%","70,402","13,586","19.3%","37,011","5,767","15.6%","45,889","11,819","25.8%","9,730","2,015","20.7%","13,945","4,715","33.8%","74,739","22,500","30.1%","24,448","5,689","23.3%","73,184","20,038","27.4%","9,322","1,501","16.1%","32,984","8,607","26.1%","56,260","13,404","23.8%","52,952","10,020","18.9%","38,416","5,987","15.6%","56,694","10,345","18.2%","35,632","10,381","29.1%","6,125","1,554","25.4%","24,419","3,534","14.5%","10,617","1,565","14.7%","42,079","10,718","25.5%","9,865","1,944","19.7%","750,312","172,087","22.9%"
"    15 years","134","134","100.0%","85","85","100.0%","110","110","100.0%","49","49","100.0%","8","8","100.0%","34","34","100.0%","80","80","100.0%","130","130","100.0%","257","257","100.0%","23","23","100.0%","81","81","100.0%","43","43","100.0%","38","38","100.0%","41","41","100.0%","63","47","74.6%","101","89","88.1%","30","30","100.0%","36","36","100.0%","23","23","100.0%","21","21","100.0%","15","4","26.7%","1,402","1,363","97.2%"
"    16 to 17 years","61","57","93.4%","168","168","100.0%","173","173","100.0%","337","337","100.0%","87","81","93.1%","69","69","100.0%","331","313","94.6%","149","149","100.0%","242","242","100.0%","12","12","100.0%","205","155","75.6%","368","368","100.0%","181","181","100.0%","102","102","100.0%","214","205","95.8%","151","140","92.7%","36","36","100.0%","71","62","87.3%","19","19","100.0%","126","121","96.0%","14","14","100.0%","3,116","3,004","96.4%"
"    18 to 24 years","2,817","1,538","54.6%","5,677","2,066","36.4%","4,292","1,381","32.2%","4,937","2,162","43.8%","773","238","30.8%","1,432","717","50.1%","8,251","4,705","57.0%","4,218","2,939","69.7%","12,323","5,798","47.1%","750","318","42.4%","5,240","3,115","59.4%","8,543","5,367","62.8%","4,063","1,787","44.0%","4,152","1,455","35.0%","3,624","1,547","42.7%","3,435","1,576","45.9%","844","298","35.3%","2,494","1,128","45.2%","785","248","31.6%","3,977","1,674","42.1%","950","274","28.8%","83,577","40,331","48.3%"
"    25 to 34 years","7,451","1,601","21.5%","22,206","3,036","13.7%","12,698","1,677","13.2%","17,317","3,710","21.4%","2,366","297","12.6%","4,337","1,246","28.7%","26,930","6,263","23.3%","8,560","1,577","18.4%","51,560","7,216","14.0%","2,277","311","13.7%","12,109","2,400","19.8%","21,416","3,562","16.6%","16,598","2,479","14.9%","13,982","1,751","12.5%","13,736","2,352","17.1%","11,888","3,051","25.7%","1,477","356","24.1%","7,738","851","11.0%","3,247","425","13.1%","14,379","3,131","21.8%","3,245","419","12.9%","275,517","47,711","17.3%"
"    35 to 44 years","5,071","1,405","27.7%","16,461","2,566","15.6%","7,072","1,087","15.4%","10,297","2,132","20.7%","1,434","340","23.7%","3,005","1,041","34.6%","22,235","4,989","22.4%","4,391","676","15.4%","24,318","4,058","16.7%","1,762","214","12.1%","7,074","1,831","25.9%","12,601","2,044","16.2%","9,819","1,665","17.0%","7,837","891","11.4%","8,230","1,501","18.2%","9,379","2,258","24.1%","1,547","369","23.9%","4,442","744","16.7%","2,359","306","13.0%","12,280","2,394","19.5%","1,854","344","18.6%","173,468","32,855","18.9%"
"    45 to 54 years","6,899","1,969","28.5%","18,538","3,154","17.0%","9,921","1,907","19.2%","14,396","3,552","24.7%","2,650","601","22.7%","4,063","1,328","32.7%","22,843","5,520","24.2%","7,434","1,435","19.3%","20,455","4,280","20.9%","2,620","417","15.9%","8,855","2,317","26.2%","14,686","2,649","18.0%","14,608","2,401","16.4%","9,872","1,345","13.6%","11,936","2,583","21.6%","12,259","2,892","23.6%","1,638","424","25.9%","6,798","941","13.8%","3,521","556","15.8%","12,666","2,470","19.5%","2,859","598","20.9%","209,517","43,339","20.7%"
"    55 to 64 years","10,404","2,470","23.7%","22,565","4,042","17.9%","12,938","1,950","15.1%","15,311","4,104","26.8%","3,565","767","21.5%","5,037","1,571","31.2%","25,728","8,196","31.9%","8,351","1,673","20.0%","18,651","4,967","26.6%","3,353","640","19.1%","11,665","2,929","25.1%","18,076","3,654","20.2%","19,178","3,575","18.6%","12,679","1,719","13.6%","16,857","3,467","20.6%","11,869","3,489","29.4%","2,129","529","24.8%","9,264","1,261","13.6%","4,551","628","13.8%","14,191","3,181","22.4%","3,760","771","20.5%","250,122","55,583","22.2%"
"    65 to 74 years","8,311","1,348","16.2%","18,595","3,099","16.7%","10,443","1,053","10.1%","12,421","2,280","18.4%","3,239","514","15.9%","4,147","917","22.1%","19,159","5,309","27.7%","6,460","982","15.2%","13,809","4,362","31.6%","3,099","280","9.0%","7,906","1,301","16.5%","14,785","2,403","16.3%","14,864","2,081","14.0%","10,266","1,282","12.5%","19,218","2,529","13.2%","10,299","2,595","25.2%","1,826","263","14.4%","6,636","683","10.3%","3,439","390","11.3%","11,236","2,586","23.0%","3,290","438","13.3%","203,448","36,695","18.0%"
"    75 years and over","7,493","1,149","15.3%","24,744","4,558","18.4%","10,758","1,183","11.0%","12,120","2,387","19.7%","3,804","537","14.1%","3,293","842","25.6%","16,899","3,877","22.9%","6,557","818","12.5%","12,496","4,582","36.7%","3,319","410","12.4%","8,828","1,503","17.0%","16,441","2,922","17.8%","18,542","2,761","14.9%","12,228","1,758","14.4%","25,607","3,195","12.5%","9,939","2,074","20.9%","1,972","348","17.6%","7,054","963","13.7%","2,853","401","14.1%","11,720","2,443","20.8%","2,886","442","15.3%","219,553","39,153","17.8%"
"    Mean income deficit for unrelated individuals (dollars)","6,671","(X)","(X)","7,042","(X)","(X)","7,341","(X)","(X)","7,127","(X)","(X)","6,230","(X)","(X)","6,897","(X)","(X)","7,162","(X)","(X)","7,494","(X)","(X)","7,535","(X)","(X)","7,368","(X)","(X)","7,626","(X)","(X)","8,038","(X)","(X)","6,993","(X)","(X)","7,145","(X)","(X)","6,756","(X)","(X)","7,025","(X)","(X)","6,530","(X)","(X)","7,594","(X)","(X)","7,484","(X)","(X)","7,301","(X)","(X)","6,096","(X)","(X)","7,231","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","17,930","696","3.9%","61,862","1,412","2.3%","31,480","659","2.1%","36,866","1,209","3.3%","5,938","95","1.6%","9,014","404","4.5%","61,836","1,909","3.1%","18,997","412","2.2%","86,653","2,424","2.8%","7,696","237","3.1%","25,567","676","2.6%","47,605","897","1.9%","41,826","944","2.3%","34,730","747","2.2%","33,607","1,043","3.1%","31,595","1,211","3.8%","4,521","159","3.5%","21,405","676","3.2%","10,181","113","1.1%","37,014","1,365","3.7%","7,836","185","2.4%","634,159","17,473","2.8%"
"    Worked less than full-time, year-round in the past 12 months","10,227","3,396","33.2%","22,402","5,260","23.5%","13,171","3,036","23.1%","16,635","4,858","29.2%","3,864","893","23.1%","4,862","1,854","38.1%","27,627","9,230","33.4%","9,725","3,531","36.3%","26,166","8,422","32.2%","2,785","629","22.6%","12,588","4,560","36.2%","20,608","6,606","32.1%","19,126","4,618","24.1%","13,280","2,958","22.3%","17,397","4,367","25.1%","10,917","3,389","31.0%","1,764","486","27.6%","7,979","1,679","21.0%","3,923","947","24.1%","14,975","4,157","27.8%","4,222","895","21.2%","264,243","75,771","28.7%"
"    Did not work","20,484","7,579","37.0%","44,775","16,102","36.0%","23,754","6,826","28.7%","33,684","14,646","43.5%","8,124","2,395","29.5%","11,541","5,507","47.7%","52,993","28,113","53.1%","17,528","6,436","36.7%","41,292","24,916","60.3%","6,734","1,759","26.1%","23,808","10,396","43.7%","38,746","15,509","40.0%","36,939","11,406","30.9%","23,149","6,639","28.7%","48,481","12,016","24.8%","26,808","13,564","50.6%","5,214","2,008","38.5%","15,149","4,314","28.5%","6,693","1,936","28.9%","28,607","12,499","43.7%","6,815","2,224","32.6%","521,318","206,790","39.7%"
