"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"    One race","259,641","38,074","14.7%","890,059","65,826","7.4%","423,176","23,739","5.6%","490,741","63,048","12.8%","92,717","9,986","10.8%","139,934","24,754","17.7%","745,763","126,182","16.9%","278,651","21,863","7.8%","628,148","109,525","17.4%","120,739","4,912","4.1%","344,255","39,928","11.6%","779,947","66,542","8.5%","609,265","43,931","7.2%","480,046","22,333","4.7%","565,058","61,832","10.9%","478,224","77,232","16.1%","63,038","8,465","13.4%","318,077","16,216","5.1%","143,050","8,217","5.7%","528,255","58,286","11.0%","104,285","8,035","7.7%","8,483,069","898,926","10.6%"
"        White","180,713","19,667","10.9%","647,359","40,088","6.2%","324,162","15,787","4.9%","320,675","24,518","7.6%","85,912","8,606","10.0%","92,831","12,526","13.5%","327,174","28,837","8.8%","235,297","14,396","6.1%","357,140","56,721","15.9%","113,905","4,346","3.8%","219,438","17,598","8.0%","494,088","45,189","9.1%","517,571","29,443","5.7%","401,201","17,962","4.5%","527,721","56,357","10.7%","327,349","36,443","11.1%","51,941","5,493","10.6%","224,777","10,234","4.6%","136,020","6,994","5.1%","313,130","21,654","6.9%","94,925","6,714","7.1%","5,993,329","479,573","8.0%"
"        Black or African American","41,934","11,401","27.2%","51,609","7,236","14.0%","68,181","5,677","8.3%","97,452","21,135","21.7%","4,039","767","19.0%","26,408","6,375","24.1%","307,563","75,394","24.5%","28,886","5,556","19.2%","82,595","19,826","24.0%","910","154","16.9%","70,591","15,949","22.6%","73,604","8,574","11.6%","44,109","8,927","20.2%","14,689","1,390","9.5%","17,210","3,067","17.8%","62,095","17,606","28.4%","9,047","2,577","28.5%","28,630","2,675","9.3%","2,663","657","24.7%","114,395","16,741","14.6%","4,114","805","19.6%","1,150,724","232,489","20.2%"
"        American Indian and Alaska Native","547","279","51.0%","1,829","309","16.9%","380","59","15.5%","1,454","465","32.0%","375","199","53.1%","1,228","367","29.9%","2,319","456","19.7%","441","0","0.0%","2,207","604","27.4%","51","0","0.0%","631","290","46.0%","1,443","90","6.2%","902","227","25.2%","467","12","2.6%","636","140","22.0%","1,958","447","22.8%","93","19","20.4%","448","36","8.0%","169","10","5.9%","819","231","28.2%","159","7","4.4%","18,556","4,247","22.9%"
"        Asian","22,126","3,779","17.1%","139,515","10,061","7.2%","20,120","785","3.9%","27,586","2,926","10.6%","1,038","222","21.4%","1,976","136","6.9%","36,927","2,615","7.1%","8,317","448","5.4%","92,915","10,466","11.3%","4,443","160","3.6%","33,733","2,120","6.3%","182,845","8,426","4.6%","32,560","2,007","6.2%","46,692","1,438","3.1%","10,315","535","5.2%","25,993","3,275","12.6%","584","13","2.2%","49,978","1,332","2.7%","2,585","133","5.1%","25,886","1,338","5.2%","2,740","141","5.1%","768,874","52,356","6.8%"
"        Native Hawaiian and Other Pacific Islander","159","0","0.0%","123","0","0.0%","195","16","8.2%","109","31","28.4%","44","0","0.0%","0","0","-","315","81","25.7%","80","34","42.5%","269","26","9.7%","226","0","0.0%","14","0","0.0%","213","47","22.1%","107","60","56.1%","69","0","0.0%","105","15","14.3%","96","0","0.0%","5","0","0.0%","32","0","0.0%","25","12","48.0%","337","0","0.0%","0","0","-","2,523","322","12.8%"
"        Some other race","14,162","2,948","20.8%","49,624","8,132","16.4%","10,138","1,415","14.0%","43,465","13,973","32.1%","1,309","192","14.7%","17,491","5,350","30.6%","71,465","18,799","26.3%","5,630","1,429","25.4%","93,022","21,882","23.5%","1,204","252","20.9%","19,848","3,971","20.0%","27,754","4,216","15.2%","14,016","3,267","23.3%","16,928","1,531","9.0%","9,071","1,718","18.9%","60,733","19,461","32.0%","1,368","363","26.5%","14,212","1,939","13.6%","1,588","411","25.9%","73,688","18,322","24.9%","2,347","368","15.7%","549,063","129,939","23.7%"
"    Two or more races","9,134","2,778","30.4%","19,949","2,278","11.4%","14,754","1,466","9.9%","14,935","3,128","20.9%","1,451","497","34.3%","5,388","1,438","26.7%","24,727","6,238","25.2%","6,529","844","12.9%","20,163","3,060","15.2%","1,189","153","12.9%","6,976","1,077","15.4%","18,395","1,639","8.9%","13,698","1,879","13.7%","9,204","455","4.9%","8,909","1,916","21.5%","19,058","4,519","23.7%","1,238","228","18.4%","7,194","481","6.7%","2,234","120","5.4%","9,896","1,237","12.5%","1,476","308","20.9%","216,497","35,739","16.5%"
"Hispanic or Latino origin (of any race)","48,168","11,720","24.3%","158,690","22,458","14.2%","29,282","3,601","12.3%","76,139","22,962","30.2%","6,214","1,558","25.1%","41,543","11,657","28.1%","165,888","39,379","23.7%","14,974","2,549","17.0%","278,157","62,736","22.6%","6,245","998","16.0%","56,581","12,192","21.5%","154,931","29,055","18.8%","62,782","10,729","17.1%","59,511","6,337","10.6%","49,751","9,892","19.9%","192,773","47,495","24.6%","4,684","1,514","32.3%","44,651","5,122","11.5%","9,942","1,215","12.2%","155,949","27,533","17.7%","8,156","1,600","19.6%","1,625,011","332,302","20.4%"
"White alone, not Hispanic or Latino","154,430","13,832","9.0%","547,828","27,283","5.0%","308,137","13,756","4.5%","299,278","19,448","6.5%","81,677","7,505","9.2%","74,212","7,788","10.5%","249,527","14,883","6.0%","228,460","13,641","6.0%","190,884","20,399","10.7%","109,095","3,632","3.3%","185,460","10,356","5.6%","376,504","21,387","5.7%","475,661","23,512","4.9%","360,180","13,167","3.7%","490,243","48,868","10.0%","217,655","14,425","6.6%","49,135","4,554","9.3%","195,964","7,275","3.7%","128,213","6,222","4.9%","232,362","11,068","4.8%","89,372","5,625","6.3%","5,044,277","308,626","6.1%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","184,460","22,573","12.2%","640,264","44,102","6.9%","302,313","15,160","5.0%","340,435","35,000","10.3%","69,556","6,281","9.0%","95,251","13,990","14.7%","511,068","70,811","13.9%","193,200","11,744","6.1%","455,443","62,489","13.7%","86,450","3,364","3.9%","240,246","21,881","9.1%","547,827","36,522","6.7%","429,950","26,238","6.1%","340,871","14,876","4.4%","396,283","31,507","8.0%","326,061","41,753","12.8%","44,250","4,379","9.9%","223,887","9,906","4.4%","100,738","5,070","5.0%","362,505","33,648","9.3%","73,733","4,547","6.2%","5,964,791","515,841","8.6%"
"        Less than high school graduate","27,809","7,301","26.3%","53,209","9,445","17.8%","22,018","3,500","15.9%","41,043","10,989","26.8%","7,262","1,616","22.3%","21,500","6,385","29.7%","80,103","21,522","26.9%","16,234","2,511","15.5%","79,133","19,858","25.1%","4,201","688","16.4%","29,188","7,153","24.5%","61,126","11,069","18.1%","31,185","5,742","18.4%","21,104","2,819","13.4%","37,792","6,072","16.1%","56,452","15,581","27.6%","6,025","1,407","23.4%","13,919","1,786","12.8%","6,166","877","14.2%","52,448","10,615","20.2%","7,039","1,206","17.1%","674,956","148,142","21.9%"
"        High school graduate (includes equivalency)","61,376","7,920","12.9%","159,207","14,696","9.2%","89,014","5,810","6.5%","107,260","12,546","11.7%","24,466","2,781","11.4%","36,140","4,598","12.7%","145,872","26,655","18.3%","66,326","5,711","8.6%","119,248","20,336","17.1%","19,285","1,197","6.2%","60,379","6,948","11.5%","141,041","11,612","8.2%","109,982","9,723","8.8%","77,069","4,871","6.3%","144,925","12,147","8.4%","112,684","16,236","14.4%","16,884","1,642","9.7%","48,101","3,729","7.8%","31,014","2,125","6.9%","107,061","12,264","11.5%","25,754","1,736","6.7%","1,703,088","185,283","10.9%"
"        Some college, associates degree","49,910","4,943","9.9%","130,801","9,203","7.0%","82,350","3,804","4.6%","90,028","7,556","8.4%","17,331","1,185","6.8%","23,312","2,479","10.6%","117,473","15,220","13.0%","54,916","2,309","4.2%","88,576","11,859","13.4%","20,320","735","3.6%","53,115","4,617","8.7%","120,087","6,463","5.4%","106,929","6,350","5.9%","69,291","2,955","4.3%","108,469","8,174","7.5%","70,854","6,894","9.7%","12,175","1,086","8.9%","44,479","2,206","5.0%","29,917","1,262","4.2%","85,172","7,448","8.7%","19,017","1,075","5.7%","1,394,522","107,823","7.7%"
"        Bachelors degree or higher","45,365","2,409","5.3%","297,047","10,758","3.6%","108,931","2,046","1.9%","102,104","3,909","3.8%","20,497","699","3.4%","14,299","528","3.7%","167,620","7,414","4.4%","55,724","1,213","2.2%","168,486","10,436","6.2%","42,644","744","1.7%","97,564","3,163","3.2%","225,573","7,378","3.3%","181,854","4,423","2.4%","173,407","4,231","2.4%","105,097","5,114","4.9%","86,071","3,042","3.5%","9,166","244","2.7%","117,388","2,185","1.9%","33,641","806","2.4%","117,824","3,321","2.8%","21,923","530","2.4%","2,192,225","74,593","3.4%"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian labor force 16 years and over","144,991","13,531","9.3%","484,670","18,582","3.8%","241,939","7,999","3.3%","270,356","18,447","6.8%","47,758","2,778","5.8%","72,109","7,416","10.3%","409,388","43,071","10.5%","155,517","7,524","4.8%","369,836","36,480","9.9%","69,659","1,763","2.5%","192,621","12,506","6.5%","435,365","21,758","5.0%","333,709","14,758","4.4%","273,075","8,049","2.9%","269,549","16,690","6.2%","251,384","18,216","7.2%","33,056","2,673","8.1%","179,671","5,713","3.2%","82,727","3,078","3.7%","295,478","20,388","6.9%","58,243","2,899","5.0%","4,671,101","284,319","6.1%"
"        Employed","126,350","8,432","6.7%","449,148","13,182","2.9%","220,711","4,828","2.2%","239,587","10,412","4.3%","42,864","1,734","4.0%","62,500","4,880","7.8%","353,262","24,103","6.8%","140,187","4,693","3.3%","331,747","24,712","7.4%","64,801","1,256","1.9%","172,989","7,926","4.6%","398,713","15,691","3.9%","305,283","10,267","3.4%","253,896","5,455","2.1%","242,697","11,456","4.7%","226,996","13,032","5.7%","28,972","1,601","5.5%","167,933","4,337","2.6%","74,953","1,917","2.6%","263,794","13,222","5.0%","52,718","1,887","3.6%","4,220,101","185,023","4.4%"
"            Male","63,334","3,979","6.3%","239,567","6,227","2.6%","112,577","2,187","1.9%","121,270","4,163","3.4%","22,350","986","4.4%","31,622","2,191","6.9%","178,619","9,631","5.4%","71,251","1,648","2.3%","180,298","11,045","6.1%","34,017","578","1.7%","89,894","3,502","3.9%","212,602","7,710","3.6%","163,883","4,406","2.7%","135,816","2,672","2.0%","125,001","4,767","3.8%","121,193","6,238","5.1%","15,002","571","3.8%","89,580","2,182","2.4%","39,293","830","2.1%","139,255","6,503","4.7%","27,953","922","3.3%","2,214,377","82,938","3.7%"
"            Female","63,016","4,453","7.1%","209,581","6,955","3.3%","108,134","2,641","2.4%","118,317","6,249","5.3%","20,514","748","3.6%","30,878","2,689","8.7%","174,643","14,472","8.3%","68,936","3,045","4.4%","151,449","13,667","9.0%","30,784","678","2.2%","83,095","4,424","5.3%","186,111","7,981","4.3%","141,400","5,861","4.1%","118,080","2,783","2.4%","117,696","6,689","5.7%","105,803","6,794","6.4%","13,970","1,030","7.4%","78,353","2,155","2.8%","35,660","1,087","3.0%","124,539","6,719","5.4%","24,765","965","3.9%","2,005,724","102,085","5.1%"
"        Unemployed","18,641","5,099","27.4%","35,522","5,400","15.2%","21,228","3,171","14.9%","30,769","8,035","26.1%","4,894","1,044","21.3%","9,609","2,536","26.4%","56,126","18,968","33.8%","15,330","2,831","18.5%","38,089","11,768","30.9%","4,858","507","10.4%","19,632","4,580","23.3%","36,652","6,067","16.6%","28,426","4,491","15.8%","19,179","2,594","13.5%","26,852","5,234","19.5%","24,388","5,184","21.3%","4,084","1,072","26.2%","11,738","1,376","11.7%","7,774","1,161","14.9%","31,684","7,166","22.6%","5,525","1,012","18.3%","451,000","99,296","22.0%"
"            Male","10,458","2,465","23.6%","19,047","2,453","12.9%","11,335","1,418","12.5%","16,678","3,598","21.6%","2,556","380","14.9%","5,482","1,116","20.4%","27,725","7,620","27.5%","9,027","1,408","15.6%","19,345","4,986","25.8%","2,599","230","8.8%","10,713","2,334","21.8%","19,961","2,823","14.1%","15,335","2,150","14.0%","10,003","1,336","13.4%","14,821","2,550","17.2%","12,075","2,671","22.1%","2,171","540","24.9%","6,535","735","11.2%","4,590","629","13.7%","15,765","2,761","17.5%","2,748","414","15.1%","238,969","44,617","18.7%"
"            Female","8,183","2,634","32.2%","16,475","2,947","17.9%","9,893","1,753","17.7%","14,091","4,437","31.5%","2,338","664","28.4%","4,127","1,420","34.4%","28,401","11,348","40.0%","6,303","1,423","22.6%","18,744","6,782","36.2%","2,259","277","12.3%","8,919","2,246","25.2%","16,691","3,244","19.4%","13,091","2,341","17.9%","9,176","1,258","13.7%","12,031","2,684","22.3%","12,313","2,513","20.4%","1,913","532","27.8%","5,203","641","12.3%","3,184","532","16.7%","15,919","4,405","27.7%","2,777","598","21.5%","212,031","54,679","25.8%"
"WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over","215,228","28,144","13.1%","732,495","52,491","7.2%","350,840","18,769","5.3%","398,803","44,678","11.2%","79,274","7,759","9.8%","113,247","17,556","15.5%","601,202","90,790","15.1%","225,912","16,853","7.5%","529,573","81,350","15.4%","98,114","3,695","3.8%","280,159","28,505","10.2%","636,657","50,266","7.9%","498,318","33,356","6.7%","390,468","18,192","4.7%","452,823","38,635","8.5%","388,404","54,029","13.9%","51,458","5,687","11.1%","256,595","12,380","4.8%","116,888","6,242","5.3%","422,752","40,839","9.7%","85,266","6,092","7.1%","6,924,476","656,308","9.5%"
"        Worked full-time, year-round in the past 12 months","81,749","2,517","3.1%","332,505","4,711","1.4%","158,166","1,144","0.7%","164,830","3,209","1.9%","27,243","280","1.0%","42,376","1,263","3.0%","251,870","6,666","2.6%","94,986","988","1.0%","250,058","7,600","3.0%","45,017","245","0.5%","122,948","2,096","1.7%","290,562","4,124","1.4%","211,522","3,047","1.4%","181,951","1,547","0.9%","157,717","2,756","1.7%","166,793","5,820","3.5%","19,383","404","2.1%","124,091","1,260","1.0%","51,024","480","0.9%","187,713","4,008","2.1%","36,767","592","1.6%","2,999,271","54,757","1.8%"
"        Worked part-time or part-year in the past 12 months","60,146","8,645","14.4%","155,406","11,426","7.4%","86,188","5,506","6.4%","101,605","11,405","11.2%","23,526","2,482","10.6%","28,340","4,926","17.4%","137,963","24,082","17.5%","60,123","5,499","9.1%","110,912","22,864","20.6%","26,206","1,450","5.5%","69,216","8,618","12.5%","140,401","15,128","10.8%","127,212","10,739","8.4%","94,880","5,643","5.9%","114,274","12,359","10.8%","79,316","9,241","11.7%","13,349","1,852","13.9%","57,313","3,863","6.7%","32,477","2,000","6.2%","101,546","12,437","12.2%","21,742","1,958","9.0%","1,642,141","182,123","11.1%"
"        Did not work","73,333","16,982","23.2%","244,584","36,354","14.9%","106,486","12,119","11.4%","132,368","30,064","22.7%","28,505","4,997","17.5%","42,531","11,367","26.7%","211,369","60,042","28.4%","70,803","10,366","14.6%","168,603","50,886","30.2%","26,891","2,000","7.4%","87,995","17,791","20.2%","205,694","31,014","15.1%","159,584","19,570","12.3%","113,637","11,002","9.7%","180,832","23,520","13.0%","142,295","38,968","27.4%","18,726","3,431","18.3%","75,191","7,257","9.7%","33,387","3,762","11.3%","133,493","24,394","18.3%","26,757","3,542","13.2%","2,283,064","419,428","18.4%"
"All Individuals below:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    50 percent of poverty level","18,932","(X)","(X)","31,945","(X)","(X)","11,681","(X)","(X)","32,031","(X)","(X)","5,060","(X)","(X)","11,053","(X)","(X)","58,899","(X)","(X)","10,017","(X)","(X)","47,959","(X)","(X)","2,547","(X)","(X)","19,283","(X)","(X)","31,182","(X)","(X)","20,440","(X)","(X)","9,521","(X)","(X)","28,444","(X)","(X)","37,372","(X)","(X)","4,304","(X)","(X)","6,792","(X)","(X)","3,658","(X)","(X)","27,652","(X)","(X)","3,126","(X)","(X)","421,898","(X)","(X)"
"    125 percent of poverty level","51,695","(X)","(X)","91,851","(X)","(X)","34,530","(X)","(X)","84,975","(X)","(X)","13,229","(X)","(X)","33,407","(X)","(X)","167,023","(X)","(X)","29,497","(X)","(X)","143,833","(X)","(X)","6,665","(X)","(X)","51,828","(X)","(X)","89,537","(X)","(X)","59,737","(X)","(X)","33,686","(X)","(X)","86,004","(X)","(X)","109,669","(X)","(X)","11,354","(X)","(X)","22,623","(X)","(X)","11,437","(X)","(X)","81,491","(X)","(X)","11,376","(X)","(X)","1,225,447","(X)","(X)"
