"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"    65 years and over","42,290","3,408","8.1%","145,110","11,599","8.0%","67,677","3,329","4.9%","70,485","6,924","9.8%","22,173","1,787","8.1%","20,475","2,263","11.1%","94,838","12,006","12.7%","40,254","2,298","5.7%","69,542","11,481","16.5%","19,349","675","3.5%","49,233","3,689","7.5%","108,770","8,083","7.4%","95,874","5,905","6.2%","74,637","3,960","5.3%","125,104","7,644","6.1%","64,551","7,583","11.7%","10,459","744","7.1%","45,024","2,333","5.2%","20,692","969","4.7%","69,750","5,574","8.0%","16,392","785","4.8%","1,272,679","103,039","8.1%"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","129,842","18,563","14.3%","445,607","29,556","6.6%","212,411","12,359","5.8%","243,470","28,405","11.7%","45,191","4,329","9.6%","68,657","12,004","17.5%","368,078","57,301","15.6%","139,295","10,096","7.2%","328,256","50,479","15.4%","59,438","2,400","4.0%","171,775","17,513","10.2%","392,092","32,022","8.2%","302,521","20,047","6.6%","240,601","9,877","4.1%","278,508","28,989","10.4%","242,954","37,060","15.3%","30,691","3,928","12.8%","160,021","7,618","4.8%","71,137","3,929","5.5%","264,736","24,391","9.2%","51,537","3,650","7.1%","4,246,818","414,516","9.8%"
"    Female","138,480","22,906","16.5%","473,757","39,563","8.4%","225,648","16,081","7.1%","260,707","38,477","14.8%","47,923","5,366","11.2%","74,319","14,444","19.4%","405,388","75,639","18.7%","147,776","13,161","8.9%","333,247","64,677","19.4%","61,948","3,099","5.0%","181,654","22,093","12.2%","410,917","39,727","9.7%","318,638","27,271","8.6%","250,112","12,606","5.0%","300,297","35,781","11.9%","255,997","46,678","18.2%","32,452","4,764","14.7%","168,128","9,306","5.5%","72,204","4,429","6.1%","278,878","34,073","12.2%","53,770","4,684","8.7%","4,492,240","534,825","11.9%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","180,544","19,081","10.6%","650,458","42,482","6.5%","320,993","17,743","5.5%","318,067","24,927","7.8%","85,039","8,142","9.6%","94,573","13,705","14.5%","323,224","30,822","9.5%","235,435","15,247","6.5%","366,419","58,998","16.1%","113,185","4,688","4.1%","224,641","19,724","8.8%","487,775","46,466","9.5%","511,612","31,659","6.2%","400,454","17,764","4.4%","531,072","57,309","10.8%","316,294","37,253","11.8%","50,967","5,306","10.4%","222,912","10,397","4.7%","133,734","7,067","5.3%","311,990","22,151","7.1%","94,483","6,515","6.9%","5,973,871","497,446","8.3%"
"    Black or African American alone","41,326","11,649","28.2%","53,333","6,834","12.8%","67,461","6,317","9.4%","97,867","21,032","21.5%","4,181","654","15.6%","24,587","6,085","24.7%","308,611","74,624","24.2%","29,243","4,546","15.5%","83,287","19,931","23.9%","1,118","199","17.8%","71,939","14,320","19.9%","76,417","9,323","12.2%","44,455","8,049","18.1%","14,524","1,368","9.4%","17,484","3,161","18.1%","60,982","16,545","27.1%","8,421","2,538","30.1%","29,973","3,304","11.0%","2,814","553","19.7%","114,912","16,035","14.0%","4,187","1,034","24.7%","1,157,122","228,101","19.7%"
"    American Indian and Alaska Native alone","554","171","30.9%","1,731","313","18.1%","428","98","22.9%","1,159","445","38.4%","33","0","0.0%","1,101","243","22.1%","2,098","574","27.4%","184","0","0.0%","2,109","477","22.6%","33","0","0.0%","439","72","16.4%","1,553","94","6.1%","931","195","20.9%","483","0","0.0%","600","136","22.7%","2,228","944","42.4%","82","22","26.8%","663","0","0.0%","73","0","0.0%","1,435","255","17.8%","163","7","4.3%","18,080","4,046","22.4%"
"    Asian alone","22,489","4,041","18.0%","146,830","9,081","6.2%","21,355","894","4.2%","28,737","3,301","11.5%","1,013","185","18.3%","2,020","154","7.6%","38,443","2,315","6.0%","8,643","550","6.4%","99,038","11,357","11.5%","4,526","235","5.2%","36,646","2,292","6.3%","189,333","9,518","5.0%","33,240","1,681","5.1%","49,134","1,454","3.0%","10,980","573","5.2%","26,328","3,002","11.4%","586","45","7.7%","54,813","1,421","2.6%","2,724","221","8.1%","26,413","1,412","5.3%","2,942","97","3.3%","806,233","53,829","6.7%"
"    Native Hawaiian and Other Pacific Islander alone","61","25","41.0%","265","3","1.1%","157","17","10.8%","86","24","27.9%","88","0","0.0%","0","0","-","206","41","19.9%","74","24","32.4%","508","128","25.2%","196","0","0.0%","113","98","86.7%","150","82","54.7%","226","91","40.3%","21","0","0.0%","210","151","71.9%","123","12","9.8%","0","0","-","17","0","0.0%","24","6","25.0%","95","0","0.0%","2","0","0.0%","2,622","702","26.8%"
"    Some other race alone","14,096","3,393","24.1%","45,110","7,862","17.4%","10,842","1,387","12.8%","43,354","14,761","34.0%","1,189","274","23.0%","14,099","4,490","31.8%","80,071","20,084","25.1%","6,137","1,490","24.3%","88,884","20,526","23.1%","783","301","38.4%","13,043","2,229","17.1%","29,899","4,688","15.7%","18,456","3,815","20.7%","16,122","1,407","8.7%","9,891","1,743","17.6%","74,337","21,787","29.3%","1,457","318","21.8%","13,240","1,328","10.0%","1,745","367","21.0%","74,962","16,704","22.3%","1,971","463","23.5%","559,688","129,417","23.1%"
"    Two or more races","9,252","3,109","33.6%","21,637","2,544","11.8%","16,823","1,984","11.8%","14,907","2,392","16.0%","1,571","440","28.0%","6,596","1,771","26.8%","20,813","4,480","21.5%","7,355","1,400","19.0%","21,258","3,739","17.6%","1,545","76","4.9%","6,608","871","13.2%","17,882","1,578","8.8%","12,239","1,828","14.9%","9,975","490","4.9%","8,568","1,697","19.8%","18,659","4,195","22.5%","1,630","463","28.4%","6,531","474","7.3%","2,227","144","6.5%","13,807","1,907","13.8%","1,559","218","14.0%","221,442","35,800","16.2%"
"Hispanic or Latino origin (of any race)","49,326","12,972","26.3%","169,251","24,318","14.4%","31,303","3,313","10.6%","79,202","23,080","29.1%","6,575","2,001","30.4%","42,599","12,243","28.7%","171,917","40,168","23.4%","15,979","3,063","19.2%","285,420","63,377","22.2%","6,601","1,169","17.7%","58,874","12,480","21.2%","162,646","29,822","18.3%","64,584","11,145","17.3%","62,579","6,037","9.6%","51,259","10,510","20.5%","200,472","49,754","24.8%","4,915","1,351","27.5%","46,470","4,668","10.0%","10,380","1,283","12.4%","164,203","26,881","16.4%","8,617","1,732","20.1%","1,693,172","341,367","20.2%"
"White alone, not Hispanic or Latino","152,260","12,367","8.1%","539,153","28,171","5.2%","304,510","16,131","5.3%","293,211","20,597","7.0%","80,074","6,466","8.1%","71,218","7,212","10.1%","243,999","15,465","6.3%","228,299","14,483","6.3%","191,207","21,120","11.0%","107,707","3,874","3.6%","182,339","10,397","5.7%","364,896","22,514","6.2%","470,804","25,688","5.5%","356,183","13,271","3.7%","492,992","49,260","10.0%","211,876","15,203","7.2%","47,895","4,403","9.2%","191,864","7,069","3.7%","125,638","6,184","4.9%","224,716","11,128","5.0%","88,169","5,334","6.0%","4,969,010","316,337","6.4%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","185,127","22,310","12.1%","647,763","44,350","6.8%","304,878","16,827","5.5%","342,574","36,245","10.6%","69,185","6,273","9.1%","93,943","14,473","15.4%","516,431","71,896","13.9%","196,383","12,533","6.4%","467,632","65,010","13.9%","86,989","3,718","4.3%","241,932","22,240","9.2%","557,236","39,966","7.2%","431,562","28,034","6.5%","342,819","14,513","4.2%","399,494","32,393","8.1%","329,069","43,649","13.3%","43,766","4,462","10.2%","226,546","10,414","4.6%","100,489","5,351","5.3%","367,137","33,650","9.2%","74,080","4,604","6.2%","6,025,035","532,911","8.8%"
"        Less than high school graduate","26,052","6,852","26.3%","50,641","9,874","19.5%","20,676","3,563","17.2%","39,294","10,961","27.9%","6,759","1,419","21.0%","20,473","6,316","30.9%","77,167","21,111","27.4%","15,565","2,623","16.9%","77,006","19,859","25.8%","4,379","662","15.1%","28,738","7,243","25.2%","61,147","11,461","18.7%","30,926","5,411","17.5%","20,276","2,520","12.4%","35,430","5,965","16.8%","57,132","16,122","28.2%","5,715","1,266","22.2%","13,075","1,473","11.3%","5,872","908","15.5%","51,711","9,435","18.2%","6,911","1,187","17.2%","654,945","146,231","22.3%"
"        High school graduate (includes equivalency)","61,105","7,937","13.0%","154,646","14,642","9.5%","87,533","6,255","7.1%","105,884","12,804","12.1%","23,317","2,711","11.6%","35,786","4,690","13.1%","145,028","27,274","18.8%","67,274","5,948","8.8%","121,682","21,956","18.0%","19,258","1,553","8.1%","59,909","7,350","12.3%","141,217","13,216","9.4%","107,427","10,317","9.6%","73,773","4,746","6.4%","140,204","12,600","9.0%","112,262","16,666","14.8%","16,768","1,886","11.2%","46,914","3,829","8.2%","31,230","2,373","7.6%","107,522","12,545","11.7%","24,251","1,724","7.1%","1,682,990","193,022","11.5%"
"        Some college, associate's degree","49,644","5,167","10.4%","132,754","8,663","6.5%","83,598","4,606","5.5%","91,228","8,281","9.1%","17,817","1,396","7.8%","22,941","2,560","11.2%","119,410","15,723","13.2%","54,530","2,657","4.9%","87,513","11,606","13.3%","19,629","745","3.8%","53,649","4,194","7.8%","120,644","7,128","5.9%","105,244","6,842","6.5%","69,839","3,196","4.6%","113,176","8,581","7.6%","71,174","7,557","10.6%","12,305","1,024","8.3%","45,527","2,313","5.1%","29,246","1,300","4.4%","84,372","7,772","9.2%","20,206","1,124","5.6%","1,404,446","112,435","8.0%"
"        Bachelor's degree or higher","48,326","2,354","4.9%","309,722","11,171","3.6%","113,071","2,403","2.1%","106,168","4,199","4.0%","21,292","747","3.5%","14,743","907","6.2%","174,826","7,788","4.5%","59,014","1,305","2.2%","181,431","11,589","6.4%","43,723","758","1.7%","99,636","3,453","3.5%","234,228","8,161","3.5%","187,965","5,464","2.9%","178,931","4,051","2.3%","110,684","5,247","4.7%","88,501","3,304","3.7%","8,978","286","3.2%","121,030","2,799","2.3%","34,141","770","2.3%","123,532","3,898","3.2%","22,712","569","2.5%","2,282,654","81,223","3.6%"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian labor force 16 years and over","143,746","14,636","10.2%","492,566","18,378","3.7%","240,709","8,724","3.6%","268,439","18,336","6.8%","47,127","2,786","5.9%","69,004","7,393","10.7%","410,915","43,382","10.6%","156,077","7,605","4.9%","375,997","35,776","9.5%","69,937","1,719","2.5%","191,501","12,156","6.3%","433,431","22,649","5.2%","331,737","14,683","4.4%","274,396","7,242","2.6%","270,293","16,000","5.9%","250,464","17,896","7.1%","32,125","2,530","7.9%","181,989","5,833","3.2%","81,453","2,727","3.3%","296,681","19,428","6.5%","58,505","2,807","4.8%","4,677,092","282,686","6.0%"
"        Employed","126,761","9,211","7.3%","463,976","13,903","3.0%","221,806","5,477","2.5%","244,765","11,414","4.7%","42,770","1,654","3.9%","62,195","5,387","8.7%","361,248","25,888","7.2%","143,471","5,055","3.5%","345,443","26,345","7.6%","66,233","1,308","2.0%","175,321","7,984","4.6%","402,891","17,134","4.3%","309,201","10,768","3.5%","259,121","5,052","1.9%","249,715","12,105","4.8%","233,037","13,908","6.0%","29,118","1,632","5.6%","172,239","4,467","2.6%","75,588","1,799","2.4%","271,495","13,654","5.0%","53,647","1,898","3.5%","4,310,041","196,043","4.5%"
"            Male","63,432","4,005","6.3%","247,514","6,696","2.7%","113,888","2,242","2.0%","124,832","4,644","3.7%","22,531","1,009","4.5%","31,823","2,534","8.0%","182,199","9,826","5.4%","73,290","2,072","2.8%","188,391","12,025","6.4%","34,486","665","1.9%","91,060","3,545","3.9%","216,335","8,265","3.8%","165,167","4,576","2.8%","139,287","2,362","1.7%","127,647","4,988","3.9%","124,254","6,670","5.4%","14,926","642","4.3%","91,834","2,066","2.2%","39,840","741","1.9%","143,755","6,706","4.7%","28,402","777","2.7%","2,264,893","87,056","3.8%"
"            Female","63,329","5,206","8.2%","216,462","7,207","3.3%","107,918","3,235","3.0%","119,933","6,770","5.6%","20,239","645","3.2%","30,372","2,853","9.4%","179,049","16,062","9.0%","70,181","2,983","4.3%","157,052","14,320","9.1%","31,747","643","2.0%","84,261","4,439","5.3%","186,556","8,869","4.8%","144,034","6,192","4.3%","119,834","2,690","2.2%","122,068","7,117","5.8%","108,783","7,238","6.7%","14,192","990","7.0%","80,405","2,401","3.0%","35,748","1,058","3.0%","127,740","6,948","5.4%","25,245","1,121","4.4%","2,045,148","108,987","5.3%"
"        Unemployed","16,985","5,425","31.9%","28,590","4,475","15.7%","18,903","3,247","17.2%","23,674","6,922","29.2%","4,357","1,132","26.0%","6,809","2,006","29.5%","49,667","17,494","35.2%","12,606","2,550","20.2%","30,554","9,431","30.9%","3,704","411","11.1%","16,180","4,172","25.8%","30,540","5,515","18.1%","22,536","3,915","17.4%","15,275","2,190","14.3%","20,578","3,895","18.9%","17,427","3,988","22.9%","3,007","898","29.9%","9,750","1,366","14.0%","5,865","928","15.8%","25,186","5,774","22.9%","4,858","909","18.7%","367,051","86,643","23.6%"
"            Male","9,485","2,602","27.4%","15,226","2,256","14.8%","10,443","1,525","14.6%","12,688","2,823","22.2%","2,320","401","17.3%","3,841","898","23.4%","23,980","7,182","29.9%","7,377","1,225","16.6%","14,758","3,962","26.8%","2,095","217","10.4%","8,641","2,032","23.5%","15,721","2,511","16.0%","12,254","1,993","16.3%","7,342","1,063","14.5%","11,587","1,976","17.1%","8,631","2,097","24.3%","1,594","447","28.0%","5,166","630","12.2%","3,366","541","16.1%","12,689","2,260","17.8%","2,540","370","14.6%","191,744","39,011","20.3%"
"            Female","7,500","2,823","37.6%","13,364","2,219","16.6%","8,460","1,722","20.4%","10,986","4,099","37.3%","2,037","731","35.9%","2,968","1,108","37.3%","25,687","10,312","40.1%","5,229","1,325","25.3%","15,796","5,469","34.6%","1,609","194","12.1%","7,539","2,140","28.4%","14,819","3,004","20.3%","10,282","1,922","18.7%","7,933","1,127","14.2%","8,991","1,919","21.3%","8,796","1,891","21.5%","1,413","451","31.9%","4,584","736","16.1%","2,499","387","15.5%","12,497","3,514","28.1%","2,318","539","23.3%","175,307","47,632","27.2%"
"WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over","215,815","27,564","12.8%","743,502","52,738","7.1%","353,896","21,252","6.0%","399,907","45,697","11.4%","78,647","7,533","9.6%","110,989","17,828","16.1%","605,842","92,173","15.2%","228,608","17,532","7.7%","538,996","83,023","15.4%","99,240","4,209","4.2%","283,332","28,192","10.0%","641,860","52,840","8.2%","501,009","34,857","7.0%","395,007","17,922","4.5%","456,717","39,713","8.7%","390,565","55,502","14.2%","50,943","5,721","11.2%","261,474","12,895","4.9%","116,819","6,518","5.6%","428,097","40,721","9.5%","85,783","6,087","7.1%","6,987,048","670,517","9.6%"
"        Worked full-time, year-round in the past 12 months","82,947","3,210","3.9%","340,082","4,619","1.4%","159,631","1,394","0.9%","169,861","3,716","2.2%","27,023","315","1.2%","42,249","1,456","3.4%","253,601","6,615","2.6%","97,597","885","0.9%","259,417","8,529","3.3%","46,695","332","0.7%","124,443","2,599","2.1%","293,040","4,650","1.6%","215,154","3,097","1.4%","186,341","1,378","0.7%","163,133","2,851","1.7%","171,954","6,593","3.8%","19,922","441","2.2%","127,325","1,478","1.2%","51,906","437","0.8%","192,495","4,325","2.2%","36,506","495","1.4%","3,061,322","59,415","1.9%"
